species,TempClass
Thermobifida fusca,Thermophilic
Escherichia coli,Mesophilic
Thermobifida alba,Thermophilic
Mycolicibacterium thermoresistibile,Thermophilic
Arachnia propionica,
Pseudoxanthomonas suwonensis,
Sphaerobacter thermophilus,
Luteimonas sp. MC1750,
Luteimonas sp. JM171,
Stenotrophomonas acidaminiphila,
Luteimonas yindakuii,
Salmonella enterica,Mesophilic
Luteimonas granuli,
Georgenia wutianyii,
Pseudomonas aeruginosa,Mesophilic
Luteimonas sp. MC1825,
Paenibacillus larvae,
Stenotrophomonas maltophilia,
Luteimonas sp. YGD11-2,
Homo sapiens,
Luteimonas chenhongjianii,
Cellvibrio sp. PSBB006,
Luteimonas sp. MC1572,
Pseudoxanthomonas mexicana,
Lysobacter enzymogenes,
Luteimonas sp. S4-F44,
Thermobacillus composti,
Caldimonas thermodepolymerans,
Pseudoxanthomonas sp. X-1,
Lysobacter alkalisoli,
Lysobacter capsici,
Paracoccus kondratievae,
Actinomadura sp. NAK00032,Thermophilic
Klebsiella quasipneumoniae,Mesophilic
Sorangium cellulosum,
Pseudoxanthomonas daejeonensis,
Cellulosimicrobium cellulans,
Xanthomonas translucens,
Saccharomonospora viridis,
Lysobacter lycopersici,
Xanthomonas campestris,
Xanthomonas sacchari,
Lysobacter sp. CW239,
Burkholderia cepacia,
Pseudoxanthomonas sp. SL93,
Actinomarinicola tropica,
Actinomadura madurae,Thermophilic
Luteimonas fraxinea,
Stenotrophomonas rhizophila,
Lysobacter solisilvae,
Sandaracinus amylolyticus,
Actinomadura sp. WMMA1423,Thermophilic
Thermomonas aquatica,
Protaetiibacter sp. SSC-01,
Xanthomonas citri,
Ureibacillus thermosphaericus,
Chelatococcus sp. CO-6,
Lysobacter sp. 5GHs7-4,
Nonomuraea coxensis,
Cellulomonas fimi,
Lysobacter sp. H21R4,
Cellulomonas sp. NS3,
Lysobacter terrestris,
Mycolicibacterium hassiacum,
Symbiobacterium thermophilum,
Iamia sp. SCSIO 61187,
Lysobacter soli,
Aquihabitans sp. Kera 3,
Cellulomonas sp. PSBB021,
Cellulomonas palmilytica,
Nonomuraea phyllanthi,
Thermobispora bispora,
Stenotrophomonas sp. CW117,
Iamia majanohamensis,
Lysobacter sp. H23M47,
Aquihabitans sp. G128,
Lysobacter luteus,
Thermomonas sp. XSG,
Thermomonospora amylolytica,
Nonomuraea sp. ATCC 55076,
Nonomuraea gerenzanensis,
Mesorhizobium sp. 8,
Thermomonas sp. HDW16,
Pseudomonas putida,Mesophilic
Thermomonas brevis,
Xanthomonas arboricola,
Actinotalea sp. JY-7876,
Nocardiopsis sp. HDS12,
Nocardiopsis dassonvillei,
Lysobacter maris,
Protaetiibacter intestinalis,
Cellulomonas sp. zg.Y338,
Achromobacter xylosoxidans,
Actinomadura verrucosospora,Thermophilic
Microbacterium hominis,
Cellulomonas iranensis,
Cellulomonas sp. Y8,
Cellulomonas shaoxiangyii,
Lysobacter oculi,
Lysobacter sp. S4-A87,
Natronosporangium hydrolyticum,
Cellulomonas wangleii,
Pseudoxanthomonas spadix,
Streptomyces sp. RLB3-6,Mesophilic
Cellulomonas sp. C5510,
Actinomadura sp. WMMB 499,Thermophilic
Xanthomonas hortorum,
Conexibacter woesei,
Thermomonas carbonis,
Bordetella petrii,
Thermomonas sp. IMCC34681,
Cellulomonas sp. S1-8,
Bacillus cereus,
Oerskovia sp. KBS0722,
Parvibaculum lavamentivorans,
Idiomarina loihiensis,
Triticum aestivum,
Pseudoxanthomonas sp. JBR18,
Lysobacter antibioticus,
Alicycliphilus denitrificans,
Streptomyces venezuelae,Mesophilic
Burkholderia multivorans,
Lysobacter sp. TY2-98,
Georgenia faecalis,
Cellulomonas fengjieae,
Streptococcus equinus,
Stutzerimonas stutzeri,
Lysobacter sp. KIS68-7,
Micromonospora aurantiaca,
Rhodococcus rhodochrous,
Rhizobium leguminosarum,
Sanguibacter sp. HDW7,
Arenimonas daejeonensis,
Cellulomonas flavigena,
Novibacillus thermophilus,
Actinomadura graeca,Thermophilic
Xanthomonas euroxanthea,
Lysobacter gummosus,
Xanthomonas sp. AM6,
Cellulomonas sp. H30R-01,
Georgenia sp. TF02-10,
Thermobifida halotolerans,Thermophilic
Cellulomonas sp. JZ18,
Paracoccus pantotrophus,
Pseudomonas chlororaphis,Mesophilic
Sanguibacter keddieii,
Castellaniella defragrans,
Triticum dicoccoides,
Shigella flexneri,Mesophilic
Xanthomonas sp. CFBP 8443,
Capillimicrobium parvum,
Cellulomonas gilvus,
Xanthomonas vesicatoria,
Zingiber officinale,
Variovorax paradoxus,
Isoptericola variabilis,
Protaetiibacter larvae,
Brucella anthropi,
Xanthomonas sp. CFBP 8445,
Chelatococcus daeguensis,
Bordetella hinzii,
Frateuria sp. 5GH9-11,
Cellulomonas sp. zg.Y908,
Streptomyces albidoflavus,Mesophilic
Clavibacter michiganensis,
Polyangium aurulentum,
Lysobacter avium,
Agrobacterium tumefaciens,
Micromonospora sp. WMMC415,
Cellulomonas dongxiuzhuiae,
Xanthomonas oryzae,
Beutenbergia cavernae,
Myxococcus xanthus,
Phoenix dactylifera,
Pseudomonas fluorescens,Mesophilic
Pimelobacter simplex,
Nannocystis sp. fl3,
Thermomonospora curvata,
Polymorphospora rubra,
Aeromicrobium sp. HA,
Escherichia albertii,Mesophilic
Mycolicibacterium phlei,
Xylanimonas protaetiae,
Georgenia yuyongxinii,
Lysobacter sp. K5869,
Isoptericola dokdonensis,
Micromonospora echinaurantiaca,
Aquibium microcysteis,
Phytohabitans suffuscus,
Plantactinospora sp. KBS50,
Pengzhenrongella sicca,
Lysobacter arenosi,
Micromonospora sp. HM134,
Capsicum annuum,
Hordeum vulgare,
Leifsonia sp. 98AMF,
Saccharomonospora azurea,
Streptosporangium roseum,
Micromonospora carbonacea,
Dactylosporangium aurantiacum,
Gemmatirosa kalamazoonensis,
Cellulomonas sp. zg.B89,
Streptosporangium sp. 'caverna',
Streptomyces bingchenggensis,Mesophilic
Cellulosimicrobium protaetiae,
Bordetella bronchiseptica,
Actinoplanes sp. L3-i22,
Stenotrophomonas sp. SAU14A_NAIMI4_5,
Klebsiella pneumoniae,Mesophilic
Nocardioides sp. JS614,
Brucella pseudintermedia,
Luteimicrobium xylanilyticum,
Helianthus annuus,
Nocardiopsis exhalans,
Stenotrophomonas sp. ZAC14D2_NAIMI4_7,
Streptomyces violaceoruber,Mesophilic
Aeromicrobium choanae,
Catellatospora sp. IY07-71,
Miniimonas sp. S16,
Micromonospora sagamiensis,
Mesorhizobium loti,
Microbacterium sp. YJN-G,
Limnochorda pilosa,
Dactylosporangium vinaceum,
Xanthomonas hyacinthi,
Micromonospora inositola,
Vulgatibacter incomptus,
Conexibacter sp. SYSU D00693,
Couchioplanes caeruleus,
Shinella zoogloeoides,
Curtobacterium flaccumfaciens,
Kocuria rosea,
Stenotrophomonas sp. ZAC14A_NAIMI4_1,
Aeromicrobium sp. zg.Y50,
Micromonospora echinofusca,
Aminobacter sp. MSH1,
Micrococcus luteus,
Mesorhizobium sp. L-8-10,
Cupriavidus taiwanensis,
Phytohabitans flavus,
Stenotrophomonas sp. 169,
Nocardiopsis alba,
Occultella kanbiaonis,
Pseudomonas sp. Z8(2022),Mesophilic
Nocardia asteroides,
Mesorhizobium terrae,
Microbacterium sp. NIBRBAC000506063,
Jeotgalicoccus sp. WY2,
Xanthomonas theicola,
Brachybacterium sp. Z12,
Micromonospora purpureochromogenes,
Nocardioides marinisabuli,
Streptomyces sp. WAC 01438,Mesophilic
Micromonospora krabiensis,
Micromonospora maris,
Haliangium ochraceum,
Stenotrophomonas sp. LM091,
Baekduia sp. 0141_2,
Xanthomonas phaseoli,
Pseudazoarcus pumilus,
Rhodopseudomonas palustris,Mesophilic
Pseudomonas mendocina,Mesophilic
Mesorhizobium sp. Pch-S,
